2018-12-25 17:10:58.7433 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7743 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7743 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.7963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8053 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8053 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8053 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8203 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8203 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8203 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8353 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8353 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8353 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8513 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8513 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8513 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8853 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.8853 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9113 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9223 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9333 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9333 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9613 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9613 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9783 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9783 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9923 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:58.9923 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0063 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0063 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0223 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0223 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0223 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0413 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0413 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0543 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0543 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0543 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0753 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0753 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0883 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.0883 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1003 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1003 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1003 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1223 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1353 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1353 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1503 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1503 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1503 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1673 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1673 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1793 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1793 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1793 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1953 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1953 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.1953 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2123 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2123 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2253 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2253 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2253 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2453 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2453 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2743 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2743 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2903 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.2903 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3043 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3043 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3213 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3213 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3373 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3373 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3573 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3823 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.3823 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4003 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4003 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4153 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4153 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4313 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4313 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4443 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4443 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4593 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4593 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4593 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4833 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4913 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.4913 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5083 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5083 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5253 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5253 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5443 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5443 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5583 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5583 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5703 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5703 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5843 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5843 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.5843 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6043 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6043 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6183 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6183 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6183 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6343 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6343 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6473 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6473 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6473 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6783 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6783 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6783 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.6963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7103 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7103 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7103 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7303 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7303 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7433 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7433 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7433 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7613 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7613 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7733 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7733 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7733 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7903 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7903 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.7903 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8053 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8053 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8053 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8203 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8203 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8203 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8373 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8373 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8373 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8543 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8543 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8653 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8853 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8853 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.8963 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9173 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9173 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9173 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9333 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9333 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9803 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:10:59.9923 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:11:00.0173 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-25 17:11:00.0243 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

