2018-11-02 14:01:25.8479 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100002C 

2018-11-02 14:01:25.8479 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000033 

2018-11-02 14:01:25.8689 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000038 

2018-11-02 14:01:25.8689 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100003B 

2018-11-02 14:01:25.8829 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000040 

2018-11-02 14:01:25.8939 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000043 

2018-11-02 14:01:25.8939 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000044 

2018-11-02 14:01:25.9109 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000045 

2018-11-02 14:01:25.9109 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000046 

2018-11-02 14:01:25.9279 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004A 

2018-11-02 14:01:25.9549 | INFO |    FRT_UpdateStatus.Program | 程式結束! 

2018-11-02 14:03:02.8155 | INFO |    FRT_UpdateStatus.Program | 程式開始! 

2018-11-02 14:03:03.6125 | INFO |    FRT_UpdateStatus.Program | FRTBARM0 資料異動筆數:0 

2018-11-02 14:03:03.6335 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004C 

2018-11-02 14:03:03.8406 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100004E 

2018-11-02 14:03:03.8496 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000050 

2018-11-02 14:03:03.8496 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000052 

2018-11-02 14:03:03.8616 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100005D 

2018-11-02 14:03:03.8616 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000060 

2018-11-02 14:03:03.8616 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000062 

2018-11-02 14:03:03.8796 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000065 

2018-11-02 14:03:03.8796 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071000069 

2018-11-02 14:03:03.9036 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07100006C 

2018-11-02 14:03:03.9186 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100005 

2018-11-02 14:03:03.9276 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100006 

2018-11-02 14:03:03.9276 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100007 

2018-11-02 14:03:03.9436 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100008 

2018-11-02 14:03:03.9436 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100009 

2018-11-02 14:03:03.9596 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000A 

2018-11-02 14:03:03.9596 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000B 

2018-11-02 14:03:03.9816 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000C 

2018-11-02 14:03:03.9886 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000D 

2018-11-02 14:03:03.9886 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000E 

2018-11-02 14:03:04.0056 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q07110000F 

2018-11-02 14:03:04.0056 | INFO |    FRT_UpdateStatus.Program | FAST_NO:Q071100010 

