2019-05-06 10:23:04.0368 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.0021 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58196 

2019-05-06 10:23:12.0151 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.0151 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 0 

2019-05-06 10:23:12.0462 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58197 

2019-05-06 10:23:12.0643 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.0643 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 1 

2019-05-06 10:23:12.0873 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58198 

2019-05-06 10:23:12.0994 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.0994 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 2 

2019-05-06 10:23:12.1254 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58199 

2019-05-06 10:23:12.1415 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.1415 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 3 

2019-05-06 10:23:12.1906 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58200 

2019-05-06 10:23:12.2538 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.2578 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 4 

2019-05-06 10:23:12.3240 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58201 

2019-05-06 10:23:12.3600 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.3600 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 5 

2019-05-06 10:23:12.3961 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58202 

2019-05-06 10:23:12.4272 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.4272 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 6 

2019-05-06 10:23:12.4934 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58203 

2019-05-06 10:23:12.5094 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.5094 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 7 

2019-05-06 10:23:12.5726 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58204 

2019-05-06 10:23:12.5997 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.5997 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 8 

2019-05-06 10:23:12.6568 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58206 

2019-05-06 10:23:12.6809 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.6809 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 9 

2019-05-06 10:23:12.7190 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58207 

2019-05-06 10:23:12.7371 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.7371 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 10 

2019-05-06 10:23:12.7782 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58208 

2019-05-06 10:23:12.8062 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.8062 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 11 

2019-05-06 10:23:12.8534 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58209 

2019-05-06 10:23:12.8724 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.8724 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 12 

2019-05-06 10:23:12.9125 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58210 

2019-05-06 10:23:12.9366 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:12.9366 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 13 

2019-05-06 10:23:12.9937 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58211 

2019-05-06 10:23:13.0599 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.0669 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 14 

2019-05-06 10:23:13.0990 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58212 

2019-05-06 10:23:13.1191 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.1191 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 15 

2019-05-06 10:23:13.1652 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58213 

2019-05-06 10:23:13.1913 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.1953 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 16 

2019-05-06 10:23:13.2424 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58214 

2019-05-06 10:23:13.2725 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.2725 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 17 

2019-05-06 10:23:13.3146 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58215 

2019-05-06 10:23:13.3337 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.3337 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 18 

2019-05-06 10:23:13.3718 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58216 

2019-05-06 10:23:13.3908 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.3908 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 19 

2019-05-06 10:23:13.4419 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58217 

2019-05-06 10:23:13.4660 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.4660 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 20 

2019-05-06 10:23:13.5181 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58218 

2019-05-06 10:23:13.5462 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.5462 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 21 

2019-05-06 10:23:13.5954 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58219 

2019-05-06 10:23:13.6134 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.6164 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 22 

2019-05-06 10:23:13.6455 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:58220 

2019-05-06 10:23:13.6645 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-05-06 10:23:13.6645 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 23 

