2020-01-15 17:18:13.6055 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 4 , sleepTime:4s , currentCount => 5 , dtn:2020/1/15 下午 05:18:13 

2020-01-15 17:18:13.6436 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 4 , dtn:2020/1/15 下午 05:18:13 

2020-01-15 17:18:13.6606 | INFO |    ConsoleApplication1.Program | start fastNo:This is a test<EOF> 8 , sleepTime:2s , currentCount => 5 , dtn:2020/1/15 下午 05:18:13  

2020-01-15 17:18:14.0226 | INFO |    ConsoleApplication1.Program | workEnd sleepTime:5s , fastNo => This is a test<EOF> 2 

2020-01-15 17:18:14.0376 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 2 , sleepTime:5s , currentCount => 5 , dtn:2020/1/15 下午 05:18:14 

2020-01-15 17:18:14.0709 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 4 , dtn:2020/1/15 下午 05:18:14 

2020-01-15 17:18:14.0969 | INFO |    ConsoleApplication1.Program | start fastNo:This is a test<EOF> 9 , sleepTime:4s , currentCount => 5 , dtn:2020/1/15 下午 05:18:14  

2020-01-15 17:18:14.4594 | INFO |    ConsoleApplication1.Program | workEnd sleepTime:5s , fastNo => This is a test<EOF> 3 

2020-01-15 17:18:14.4774 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 3 , sleepTime:5s , currentCount => 5 , dtn:2020/1/15 下午 05:18:14 

2020-01-15 17:18:14.5285 | INFO |    ConsoleApplication1.Program | workEnd sleepTime:4s , fastNo => This is a test<EOF> 6 

2020-01-15 17:18:14.5085 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 4 , dtn:2020/1/15 下午 05:18:14 

2020-01-15 17:18:14.5406 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 6 , sleepTime:4s , currentCount => 4 , dtn:2020/1/15 下午 05:18:14 

2020-01-15 17:18:14.5887 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 3 , dtn:2020/1/15 下午 05:18:14 

2020-01-15 17:18:15.4181 | INFO |    ConsoleApplication1.Program | workEnd sleepTime:2s , fastNo => This is a test<EOF> 7 

2020-01-15 17:18:15.4412 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 7 , sleepTime:2s , currentCount => 3 , dtn:2020/1/15 下午 05:18:15 

2020-01-15 17:18:15.4883 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 2 , dtn:2020/1/15 下午 05:18:15 

2020-01-15 17:18:15.7600 | INFO |    ConsoleApplication1.Program | workEnd sleepTime:2s , fastNo => This is a test<EOF> 8 

2020-01-15 17:18:15.7791 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 8 , sleepTime:2s , currentCount => 2 , dtn:2020/1/15 下午 05:18:15 

2020-01-15 17:18:15.8222 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 1 , dtn:2020/1/15 下午 05:18:15 

2020-01-15 17:18:18.2219 | INFO |    ConsoleApplication1.Program | workEnd sleepTime:4s , fastNo => This is a test<EOF> 9 

2020-01-15 17:18:18.2410 | INFO |    ConsoleApplication1.Program | End fastNo:This is a test<EOF> 9 , sleepTime:4s , currentCount => 1 , dtn:2020/1/15 下午 05:18:18 

2020-01-15 17:18:18.2560 | INFO |    ConsoleApplication1.Program | ContinueWith  currentCount => 0 , dtn:2020/1/15 下午 05:18:18 

