2018-12-17 15:46:47.3688 | INFO |    FRT_FTP.Program | 排程開始 

2018-12-17 15:46:49.6459 | INFO |    FRT_FTP.Program | 刪除 FRTBCOA0 :0筆 

2018-12-17 15:46:53.8901 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9051 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9191 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9191 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9351 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9351 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9551 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9721 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:53.9901 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:54.0041 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-17 15:46:54.0381 | INFO |    FRT_FTP.Program | 排程結束 

