格式代號,稅籍編號,流水號,資料所屬年月,買受人統編/發票迄號,銷售人統編,發票起號,銷售金額,課稅別,營業稅額,扣抵代號,空白,特種稅額稅率,彙加註記,通關方式註記,發票日期,載具類別,載具號碼
25,111740240,0000078,10701,27935073,26145467,ZP58674721,000000000137,1,0000000007,1,,,,,20180118,,
25,111740240,0000079,10701,27935073,27258328,ZP84923347,000000001440,1,0000000072,1,,,,,20180118,,
25,111740240,0000080,10701,27935073,27258328,ZP85409243,000000000416,1,0000000021,1,,,,,20180118,,
25,111740240,0000081,10701,27935073,53754169,ZP88743922,000000000267,1,0000000013,1,,,,,20180118,,
25,111740240,0000082,10701,27935073,28994845,ZQ00192209,000000000555,1,0000000028,1,,,,,20180118,,
25,111740240,0000083,10701,27935073,28441577,ZQ11484494,000000000067,1,0000000003,1,,,,,20180118,,
25,111740240,0000084,10701,27935073,31575368,ZQ43609207,000000000562,1,0000000028,1,,,,,20180118,,
25,111740240,0000085,10701,27935073,42421382,ZQ92286325,000000000090,1,0000000005,1,,,,,20180118,,
25,111740240,0000086,10701,27935073,42540232,ZR04834360,000000000895,1,0000000045,1,,,,,20180118,,
25,111740240,0000087,10701,27935073,42673350,ZR05243279,000000001268,1,0000000063,1,,,,,20180118,,
25,111740240,0000088,10701,27935073,42837255,ZR09444238,000000002285,1,0000000114,1,,,,,20180118,,
25,111740240,0000089,10701,27935073,54786597,ZS35235090,000000000071,1,0000000004,1,,,,,20180118,,
25,111740240,0000090,10701,27935073,54807679,ZS35776641,000000003142,1,0000000158,1,,,,,20180118,,
25,111740240,0000091,10701,27935073,38551263,ZS61905390,000000000100,1,0000000005,1,,,,,20180118,,
25,111740240,0000092,10701,27935073,86436502,ZT17874722,000000000887,1,0000000044,1,,,,,20180118,,
25,111740240,0000093,10701,27935073,86966163,ZT23909047,000000000419,1,0000000021,1,,,,,20180118,,
25,111740240,0000094,10701,27935073,80984848,ZU35073490,000000000219,1,0000000011,1,,,,,20180118,,
25,111740240,0000095,10701,27935073,47565274,ZU35373324,000000000057,1,0000000003,1,,,,,20180118,,
25,111740240,0000096,10701,27935073,21952834,ZU38231326,000000001077,1,0000000054,1,,,,,20180118,,
25,111740240,0000097,10701,27935073,86059612,ZU43980587,000000000429,1,0000000021,1,,,,,20180118,EJ0001,0000000000
25,111740240,0000098,10701,27935073,54301019,ZU49420159,000000003232,1,0000000162,1,,,,,20180118,,
25,111740240,0000099,10701,27935073,52315558,ZU79540106,000000003028,1,0000000151,1,,,,,20180118,,
25,111740240,0000100,10701,27935073,42829419,ZU80783172,000000001163,1,0000000058,1,,,,,20180118,,
25,111740240,0000101,10701,27935073,72691221,ZV12966576,000000000748,1,0000000037,1,,,,,20180118,,
25,111740240,0000102,10701,27935073,72691221,ZV12966578,000000000781,1,0000000039,1,,,,,20180118,,
25,111740240,0000103,10701,27935073,72691221,ZV12966579,000000000714,1,0000000036,1,,,,,20180118,,
