2018-12-27 16:42:02.5843 | INFO |    FRT_FTP.Program | 排程開始 

2018-12-27 16:42:05.5244 | INFO |    FRT_FTP.Program | 刪除 FRTBCOA0 :0筆 

2018-12-27 16:42:08.5576 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.5686 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.5846 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.5846 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.5846 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6016 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6016 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6016 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6166 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6166 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6166 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6386 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6386 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6496 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6496 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.6626 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.7076 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.7076 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.7076 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.7266 | INFO |    FRT_FTP.Program | 新增 FRTBCOA0 :1筆 

2018-12-27 16:42:08.7436 | INFO |    FRT_FTP.Program | 排程結束 

